GUID;complete;media_language;srt_language;last_changed_on_amara;revision;url;touched;amara_key;amara_language
42650545-4394-4455-a5f5-9efad111fedc;True;eng;en;2020-01-04T12:55:10Z;21;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-9462-eng-deu-fra-What_The_Fax.en.srt;2020-01-04T13:08:05Z;2lRHjCK3HNLo;en
f010dc03-13bc-413d-95ec-e8786626a2f1;True;deu;de;2020-01-04T12:58:01Z;4;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-10016-deu-eng-G10_BND-Gesetz_und_der_effektive_Schutz_vor_Grundrechten.de.srt;2020-01-04T13:03:06Z;b9b6pVBQXANE;de
ffdc92f3-1a39-4931-9409-f8bfabe9f628;True;eng;en;2020-01-04T12:59:11Z;9;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-9675-eng-deu-fra-Transmission_Control_Protocol.en.srt;2020-01-04T13:07:07Z;wdzQaOMGAZaO;en
ea7c532f-cc2d-4cb1-8f15-1933df7fd523;True;deu;de;2020-01-04T13:00:04Z;20;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-9545-deu-eng-fra-Venenerkennung_hacken.de.srt;2020-01-04T13:16:06Z;N2iEvUgakPaa;de
eff16504-08ce-4de0-bf44-d877d286aac9;False;eng;en;2020-01-04T13:01:30Z;5;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-9372-eng-deu-fra-Citzens_or_subjects_The_battle_to_control_our_bodies_speech_and_communications.en.srt;2020-01-04T13:22:10Z;jgAudPYvQy1C;en
2d71612c-7f40-484b-a939-10b809aedd80;False;deu;de;2020-01-04T13:04:57Z;8;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-9733-deu-eng-Was_schuetzt_eigentlich_der_Datenschutz.de.srt;2020-01-04T13:24:15Z;Huv1pOr5K2Yc;de
a12d17e9-3758-4fa0-b612-0c6ba22ea773;True;deu;de;2020-01-04T13:06:47Z;6;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-9766-deu-eng-fra-Das_ist_mir_nicht_erinnerlich_-_Der_NSU-Komplex_heute.de.srt;2020-01-04T14:14:04Z;UoBmzWhr62jT;de
4dcbb9c4-8f93-40ed-85c0-90474f4ea623;False;eng;en;2020-01-04T13:07:32Z;6;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-10009-eng-deu-Afroroutes_Africa_Elsewhere.en.srt;2020-01-04T13:18:09Z;SLieBTjt0a6z;en
8a3e490c-30a5-46a6-ab4f-45ef3b23b1a1;True;eng;en;2020-01-04T13:08:22Z;4;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-9383-eng-deu-fra-Compromising_online_accounts_by_cracking_voicemail_systems.en.srt;2020-01-04T13:20:06Z;fqaNTAEt9rSS;en
686c1387-e761-4df6-b395-f9ddf92d46e7;True;deu;de;2020-01-04T13:09:13Z;20;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-9647-eng-deu-Taming_the_Chaos_Can_we_build_systems_that_actually_work.de.srt;2020-01-04T13:16:07Z;QWIdRrCrqGLk;de
385ac419-50f5-49b5-b571-701691d2734f;True;eng;en;2020-01-04T13:10:25Z;9;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-9508-eng-deu-Digital_Airwaves.en.srt;2020-01-04T13:19:08Z;3AZFjhK7NVWx;en
a42e5a4f-fd9b-4571-bf17-483978afecb3;False;eng;en;2020-01-04T13:11:36Z;4;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-9563-eng-deu-walletfail.en.srt;2020-01-04T13:25:23Z;Cp38mm5eRfxe;en
ee26ac2f-4727-4f29-9d0f-a31669e2c0ed;True;eng;en;2020-01-04T13:12:29Z;8;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-9734-eng-deu-Information_Biology_-_Investigating_the_information_flow_in_living_systems.en.srt;2020-01-04T13:27:07Z;0GqonlkXQOv3;en
a5de31e6-0223-4b1f-953c-558e2fd39bd9;True;deu;de;2020-01-04T13:13:27Z;9;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-10023-deu-eng-Stalking_Spy_Apps_Doxing_Digitale_Gewalt_gegen_Frauen.de.srt;2020-01-04T13:19:06Z;5oQaG0VxOK6H;de
527b56af-8d56-4edb-9027-9ca60767c742;True;eng;en;2020-01-04T13:15:21Z;5;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-9386-eng-deu-Introduction_to_Deep_Learning.en.srt;2020-01-04T13:19:05Z;N6cSWNlzBM71;en
b34662ae-f1c6-4711-9270-b5865f6dd6c8;True;eng;en;2020-01-04T13:15:56Z;9;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-9635-eng-deu-Scuttlebutt.en.srt;2020-01-04T13:19:11Z;84c5sD4kGn9t;en
4db8970f-bbfe-4541-90a8-31a05d599ffb;True;deu;de;2020-01-04T13:16:55Z;6;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-10027-deu-eng-Cyber-_Stalking_Wenn_Grenzen_verschwimmen.de.srt;2020-01-04T13:35:06Z;NVl8DA6IWmCT;de
5b947f86-8ba1-4b99-adbe-7c5030deea0c;True;eng;en;2020-01-04T13:17:52Z;8;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-9923-eng-deu-fra-Space_Ops_101.en.srt;2020-01-04T13:38:06Z;tatZAySMpWok;en
f0d70663-0769-4462-ad27-bc516d9cb141;True;eng;en;2020-01-04T13:18:43Z;6;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-10005-eng-deu-fra-How_does_the_Internet_work.en.srt;2020-01-04T13:19:09Z;qA0PmwBg2GgY;en
51ede2da-0f9b-4984-bd58-659c556d20c9;True;eng;en;2020-01-04T13:35:18Z;7;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-9491-eng-deu-fra-Hunting_the_Sigfox_Wireless_IoT_Network_Security.en.srt;2020-01-04T13:50:06Z;EsdlColG0z7P;en
65563dfd-db48-41ea-85a9-e889dd673d09;True;deu;de;2020-01-04T13:36:11Z;9;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-9909-deu-eng-fra-Updates_von_der_europaeischen_Aussengrenze.de.srt;2020-01-04T13:48:05Z;4ui6M8R9qMa1;de
